iter	Passed	Remaining
0	21	8397
1	33	6713
2	45	6013
3	58	5789
4	72	5698
5	85	5629
6	99	5564
7	112	5496
8	126	5490
9	139	5450
10	153	5432
11	167	5401
12	180	5380
13	193	5347
14	207	5320
15	221	5322
16	236	5324
17	249	5297
18	263	5276
19	276	5261
20	291	5252
21	305	5242
22	318	5223
23	331	5199
24	345	5185
25	359	5168
26	372	5150
27	386	5139
28	400	5118
29	414	5110
30	428	5101
31	442	5083
32	455	5069
33	469	5057
34	483	5043
35	497	5030
36	511	5014
37	524	5000
38	539	4990
39	553	4979
40	567	4965
41	580	4951
42	594	4939
43	608	4925
44	623	4916
45	637	4905
46	651	4890
47	664	4872
48	678	4860
49	692	4846
50	706	4832
51	719	4816
52	734	4805
53	747	4788
54	760	4771
55	775	4761
56	788	4746
57	803	4735
58	816	4720
59	830	4707
60	845	4696
61	859	4684
62	873	4671
63	886	4655
64	901	4644
65	914	4630
66	929	4619
67	943	4607
68	957	4592
69	972	4586
70	988	4581
71	1003	4572
72	1018	4564
73	1033	4552
74	1046	4536
75	1060	4520
76	1074	4505
77	1088	4492
78	1102	4480
79	1116	4466
80	1130	4451
81	1143	4434
82	1157	4420
83	1170	4405
84	1184	4390
85	1197	4374
86	1210	4355
87	1224	4342
88	1238	4328
89	1251	4312
90	1264	4294
91	1277	4277
92	1292	4267
93	1307	4255
94	1320	4238
95	1332	4219
96	1346	4204
97	1358	4187
98	1373	4174
99	1387	4162
100	1401	4147
101	1414	4132
102	1428	4118
103	1440	4100
104	1454	4085
105	1467	4069
106	1480	4054
107	1493	4038
108	1507	4023
109	1520	4009
110	1533	3993
111	1547	3978
112	1560	3963
113	1573	3948
114	1587	3933
115	1600	3917
116	1613	3902
117	1626	3887
118	1640	3873
119	1653	3857
120	1667	3843
121	1680	3829
122	1693	3813
123	1706	3797
124	1719	3782
125	1732	3768
126	1745	3753
127	1758	3737
128	1772	3723
129	1785	3708
130	1798	3692
131	1810	3676
132	1824	3662
133	1838	3648
134	1852	3635
135	1864	3620
136	1877	3604
137	1890	3589
138	1903	3574
139	1916	3559
140	1929	3544
141	1943	3531
142	1956	3515
143	1969	3501
144	1982	3486
145	1995	3471
146	2008	3456
147	2021	3442
148	2034	3427
149	2047	3412
150	2060	3398
151	2073	3383
152	2086	3368
153	2099	3353
154	2113	3340
155	2126	3325
156	2139	3311
157	2152	3296
158	2165	3281
159	2178	3267
160	2191	3252
161	2204	3238
162	2219	3227
163	2233	3214
164	2247	3201
165	2260	3186
166	2273	3171
167	2286	3158
168	2299	3143
169	2312	3128
170	2326	3115
171	2338	3100
172	2351	3085
173	2363	3070
174	2376	3055
175	2389	3041
176	2402	3026
177	2415	3012
178	2428	2997
179	2440	2983
180	2453	2968
181	2466	2954
182	2479	2940
183	2493	2927
184	2506	2912
185	2518	2897
186	2531	2883
187	2545	2870
188	2557	2855
189	2571	2842
190	2584	2828
191	2597	2814
192	2610	2799
193	2623	2786
194	2637	2772
195	2650	2758
196	2663	2744
197	2676	2730
198	2689	2716
199	2702	2702
200	2714	2687
201	2727	2673
202	2741	2660
203	2755	2647
204	2768	2633
205	2781	2619
206	2794	2605
207	2808	2592
208	2821	2578
209	2833	2563
210	2846	2550
211	2860	2536
212	2873	2522
213	2886	2508
214	2899	2494
215	2912	2480
216	2924	2466
217	2937	2452
218	2950	2438
219	2963	2424
220	2976	2410
221	2988	2396
222	3001	2382
223	3015	2368
224	3028	2355
225	3042	2342
226	3055	2328
227	3067	2314
228	3080	2300
229	3092	2285
230	3105	2272
231	3118	2258
232	3131	2244
233	3145	2231
234	3159	2218
235	3173	2205
236	3187	2192
237	3201	2179
238	3215	2166
239	3228	2152
240	3242	2139
241	3254	2125
242	3267	2110
243	3280	2097
244	3293	2083
245	3305	2069
246	3319	2056
247	3332	2042
248	3345	2028
249	3357	2014
250	3371	2001
251	3383	1987
252	3396	1973
253	3409	1959
254	3421	1945
255	3434	1931
256	3447	1917
257	3459	1904
258	3473	1890
259	3486	1877
260	3499	1863
261	3512	1850
262	3525	1836
263	3538	1822
264	3550	1808
265	3563	1795
266	3576	1781
267	3589	1767
268	3602	1754
269	3614	1740
270	3628	1727
271	3641	1713
272	3653	1699
273	3667	1686
274	3680	1672
275	3693	1659
276	3706	1645
277	3718	1631
278	3731	1618
279	3744	1604
280	3757	1591
281	3769	1577
282	3783	1564
283	3795	1550
284	3809	1537
285	3823	1523
286	3836	1510
287	3848	1496
288	3861	1483
289	3873	1469
290	3886	1455
291	3899	1442
292	3912	1428
293	3924	1414
294	3937	1401
295	3950	1387
296	3962	1374
297	3975	1360
298	3989	1347
299	4001	1333
300	4014	1320
301	4027	1306
302	4040	1293
303	4053	1279
304	4067	1266
305	4080	1253
306	4092	1239
307	4105	1226
308	4118	1212
309	4129	1198
310	4142	1185
311	4156	1172
312	4168	1158
313	4181	1145
314	4195	1132
315	4207	1118
316	4220	1105
317	4233	1091
318	4245	1078
319	4258	1064
320	4271	1051
321	4284	1037
322	4297	1024
323	4309	1010
324	4322	997
325	4334	983
326	4348	970
327	4361	957
328	4374	943
329	4386	930
330	4398	916
331	4410	903
332	4423	889
333	4435	876
334	4448	863
335	4460	849
336	4472	836
337	4486	822
338	4498	809
339	4511	796
340	4523	782
341	4535	769
342	4548	755
343	4561	742
344	4574	729
345	4586	715
346	4600	702
347	4613	689
348	4626	676
349	4638	662
350	4651	649
351	4664	636
352	4677	622
353	4689	609
354	4702	596
355	4715	582
356	4727	569
357	4740	556
358	4753	542
359	4766	529
360	4778	516
361	4791	502
362	4804	489
363	4817	476
364	4830	463
365	4845	450
366	4857	436
367	4869	423
368	4882	410
369	4895	396
370	4907	383
371	4920	370
372	4933	357
373	4946	343
374	4959	330
375	4972	317
376	4986	304
377	4998	290
378	5011	277
379	5023	264
380	5036	251
381	5048	237
382	5061	224
383	5074	211
384	5087	198
385	5100	184
386	5112	171
387	5126	158
388	5138	145
389	5150	132
390	5164	118
391	5177	105
392	5189	92
393	5204	79
394	5217	66
395	5229	52
396	5241	39
397	5253	26
398	5266	13
399	5279	0
